Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,King,,,Alisa,,
2,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Panda,,,Claudio Serafino,,
3,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Alisa,,,Lee Chaolan,,
4,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Lars,,,Akuma,,
5,FallenGameR,Pobeditel,Tekken 7,Pobeditel,false,Leo,,,Akuma,,
6,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Alisa,,,Alisa,,
7,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Josie Rizal,,,Lee Chaolan,,
8,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Geese Howard,,,Devil Jin,,
9,FallenGameR,Pobeditel,Tekken 7,Pobeditel,false,Lee Chaolan,,,Eliza,,
10,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Miguel,,,Eddy Gordo,,
11,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Heihachi Mishima,,,Lars,,
12,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Kuma,,,Eliza,,
13,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Gigas,,,Hwoarang,,
14,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Alisa,,,Jack-7,,
15,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Geese Howard,,,Eddy Gordo,,
16,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Jack-7,,,Lars,,
17,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Kazumi Mishima,,,Miguel,,
18,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Heihachi Mishima,,,Eddy Gordo,,
19,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Noctis Lucis,,,Eliza,,
20,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Bryan Fury,,,Jack-7,,
21,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Akuma,,,Alisa,,
22,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Bob,,,Ling Xiaoyu,,
23,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Kazuya Mishima,,,Kazuya Mishima,,
24,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,King,,,Ling Xiaoyu,,
25,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Jack-7,,,Marshall Law,,
26,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Bob,,,Feng Wei,,
27,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,King,,,Eliza,,
28,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Nina Williams,,,Josie Rizal,,
29,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Marshall Law,,,Devil Jin,,
30,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Eddy Gordo,,,Geese Howard,,
31,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,false,Honoka,,,Akira Yuki,,
32,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Momiji,,,Christie,,
33,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,false,Naotora Ii,,,Christie,,
34,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Pai Chan,,,Brad Wong,,
35,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Bass Armstrong,,,Pai Chan,,
36,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Honoka,,,Brad Wong,,
37,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,false,Momiji,,,Ryu Hayabusa,,
38,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Momiji,,,Jann Lee,,
39,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Helena Douglas,,,Rig,,
40,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Jann Lee,,,Hitomi,,
41,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Marie Rose,,,Kokoro,,
42,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Phase 4,,,Honoka,,
43,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Kasumi,,,Momiji,,
44,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Lisa Hamilton,,,Zack,,
45,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Bass Armstrong,,,Jann Lee,,
46,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Rig,,,Sarah Bryant,,
47,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Gen Fu,,,Leifang,,
48,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Kasumi,,,Eliot,,
49,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Zack,,,Brad Wong,,
50,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Bayman,,,Marie Rose,,
51,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Leifang,,,Naotora Ii,,
52,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Gen Fu,,,Nyotengu,,
53,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Rachel,,,Naotora Ii,,
54,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Sylvie Paula,,,Kula Diamond,,
55,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Antonov,,,Mui Mui,,
56,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Kim Kaphwan,,,K',,
57,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Mian,,,Sie Kensou,,
58,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Mai Shiranui,,,Tung Fu Rue,,
